# Energy[keV] nuFnu[keV2/keV/cm2/s] R G B
# 0.000 0.000 0.000
2.97233 0.0277649 0.000 0.000 0.000
3.01143 0.0265903 0.000 0.000 0.000
3.05105 0.0237312 0.000 0.000 0.000
3.09119 0.0247795 0.000 0.000 0.000
3.13015 0.0234628 0.000 0.000 0.000
3.16961 0.0234094 0.000 0.000 0.000
3.20956 0.0224701 0.000 0.000 0.000
3.25002 0.0241671 0.000 0.000 0.000
3.28919 0.0211795 0.000 0.000 0.000
3.32884 0.0192932 0.000 0.000 0.000
3.36713 0.0207502 0.000 0.000 0.000
3.40771 0.0211314 0.000 0.000 0.000
3.44691 0.0210833 0.000 0.000 0.000
3.48656 0.0204689 0.000 0.000 0.000
3.52666 0.0187309 0.000 0.000 0.000
3.56528 0.0183096 0.000 0.000 0.000
3.60629 0.0205155 0.000 0.000 0.000
3.64579 0.017024 0.000 0.000 0.000
3.68571 0.0157926 0.000 0.000 0.000
3.72405 0.0166032 0.000 0.000 0.000
3.76483 0.0166032 0.000 0.000 0.000
3.80399 0.0156496 0.000 0.000 0.000
3.84356 0.0137775 0.000 0.000 0.000
3.88354 0.0141588 0.000 0.000 0.000
3.92393 0.0139987 0.000 0.000 0.000
3.96258 0.0143861 0.000 0.000 0.000
4.00162 0.0145507 0.000 0.000 0.000
4.04104 0.012781 0.000 0.000 0.000
4.08085 0.0123803 0.000 0.000 0.000
4.12105 0.0118565 0.000 0.000 0.000
4.16165 0.0129861 0.000 0.000 0.000
4.20036 0.0116958 0.000 0.000 0.000
4.24173 0.0125219 0.000 0.000 0.000
4.28119 0.0127229 0.000 0.000 0.000
4.32101 0.0104858 0.000 0.000 0.000
4.35882 0.0116162 0.000 0.000 0.000
4.39937 0.0120195 0.000 0.000 0.000
4.44029 0.0122961 0.000 0.000 0.000
4.47915 0.0108006 0.000 0.000 0.000
4.51835 0.0124085 0.000 0.000 0.000
4.55789 0.0116958 0.000 0.000 0.000
4.59778 0.0112777 0.000 0.000 0.000
4.65827 0.00850547 0.000 0.000 0.000
4.71699 0.00997386 0.000 0.000 0.000
4.75827 0.00992858 0.000 0.000 0.000
4.81824 0.00894202 0.000 0.000 0.000
4.89761 0.00896239 0.000 0.000 0.000
4.95664 0.00981628 0.000 0.000 0.000
5.01639 0.00810865 0.000 0.000 0.000
5.09624 0.00725326 0.000 0.000 0.000
5.17737 0.00880074 0.000 0.000 0.000
5.25693 0.00807184 0.000 0.000 0.000
5.3348 0.00835206 0.000 0.000 0.000
5.41677 0.00653253 0.000 0.000 0.000
5.49402 0.0063566 0.000 0.000 0.000
5.5754 0.00656233 0.000 0.000 0.000
5.65491 0.00740331 0.000 0.000 0.000
5.73555 0.00625617 0.000 0.000 0.000
5.81417 0.00610154 0.000 0.000 0.000
5.89387 0.00641471 0.000 0.000 0.000
5.97467 0.00560894 0.000 0.000 0.000
6.05327 0.00671334 0.000 0.000 0.000
6.15298 0.00488212 0.000 0.000 0.000
6.27481 0.00555813 0.000 0.000 0.000
6.39556 0.00483789 0.000 0.000 0.000
6.51509 0.00472907 0.000 0.000 0.000
6.63324 0.00517962 0.000 0.000 0.000
6.75353 0.00491556 0.000 0.000 0.000
6.876 0.00501724 0.000 0.000 0.000
7.01596 0.0044372 0.000 0.000 0.000
7.17438 0.00402367 0.000 0.000 0.000
7.33637 0.00416335 0.000 0.000 0.000
7.49794 0.00406045 0.000 0.000 0.000
7.69653 0.0039511 0.000 0.000 0.000
7.9392 0.00401452 0.000 0.000 0.000
8.1806 0.0034391 0.000 0.000 0.000
8.47999 0.00307631 0.000 0.000 0.000
8.78077 0.00347845 0.000 0.000 0.000
9.06256 0.00325635 0.000 0.000 0.000
9.40446 0.00311859 0.000 0.000 0.000
9.78588 0.00310443 0.000 0.000 0.000
10.2719 0.00294616 0.000 0.000 0.000
