# Phi[rad]             Energy[keV]    I             Q/I
# I is the mean intensity over the image in units of erg/s/cm^2/sr/keV
           0     0.316228      1321.13  9.28631e-09
           0     0.331285      1352.91   9.3204e-09
           0      0.34706       1376.7  9.36517e-09
           0     0.363585      1392.21    9.414e-09
           0     0.380897      1400.47  9.46171e-09
           0     0.399034      1394.74  9.53217e-09
           0     0.418034      1380.48     9.56e-09
           0      0.43794      1360.64  9.54558e-09
           0     0.458792      1334.66  9.47988e-09
           0     0.480638      1298.38  9.44674e-09
           0     0.503524      1255.93  9.44123e-09
           0       0.5275      1197.29  9.50075e-09
           0     0.552617      1147.04  9.53194e-09
           0      0.57893       1090.1  9.73795e-09
           0     0.606496      1066.01  9.83932e-09
           0     0.635375      1015.71  9.70291e-09
           0     0.665629      1023.28  9.19678e-09
           0     0.697324      1008.78  8.56029e-09
           0     0.730527      1077.97   8.0747e-09
           0     0.765312      1175.62  7.63973e-09
           0     0.801753      1338.29   7.8037e-09
           0     0.839929      1514.59  8.26226e-09
           0     0.879923      1672.19   8.2317e-09
           0     0.921821      1822.32   8.3021e-09
           0     0.965714       2004.3  8.38315e-09
           0       1.0117      2114.93  8.44021e-09
           0      1.05987      2231.78  8.48024e-09
           0      1.11034      2356.62  8.51794e-09
           0      1.16321      2481.76  8.54918e-09
           0      1.21859      2597.08  8.56989e-09
           0      1.27662      2689.58  8.57552e-09
           0       1.3374       2727.8  8.56925e-09
           0      1.40109      2739.72  8.56345e-09
           0       1.4678      2747.42  8.55552e-09
           0      1.53769      2750.29  8.54531e-09
           0      1.61091      2747.65  8.53266e-09
           0      1.68761      2738.75  8.51738e-09
           0      1.76797      2722.77  8.49927e-09
           0      1.85215      2698.81  8.47809e-09
           0      1.94034      2665.89  8.45355e-09
           0      2.03274      2622.93  8.42533e-09
           0      2.12953      2568.76  8.39302e-09
           0      2.23092      2502.09  8.35615e-09
           0      2.33715      2421.56  8.31407e-09
           0      2.44844      2325.64  8.26597e-09
           0      2.56502      2227.47   8.2179e-09
           0      2.68716      2145.82  8.17804e-09
           0      2.81511       2055.4  8.13277e-09
           0      2.94915      1956.37  8.08083e-09
           0      3.08958      1848.81  8.02178e-09
           0      3.23669      1733.27  7.95426e-09
           0      3.39081      1610.57  7.87644e-09
           0      3.55226      1481.97  7.78604e-09
           0      3.72141      1349.19  7.68036e-09
           0       3.8986      1214.44  7.55666e-09
           0      4.08424      1080.68  7.41237e-09
           0      4.27871       951.78  7.24664e-09
           0      4.48245      836.057  7.06933e-09
           0      4.69588      741.055  6.90028e-09
           0      4.91948      656.786  6.73269e-09
           0      5.15372      583.409  6.57637e-09
           0      5.39912      520.777  6.44372e-09
           0      5.65621      468.354  6.34786e-09
           0      5.92553      425.115  6.29896e-09
           0      6.20768      389.417  6.29892e-09
           0      6.50326      358.854  6.33642e-09
           0      6.81292      327.773  6.38992e-09
           0      7.13732      297.527  6.44538e-09
           0      7.47717      269.318  6.50296e-09
           0       7.8332      243.591  6.56382e-09
           0      8.20619      220.851  6.62999e-09
           0      8.59693      198.821  6.71779e-09
           0      9.00628      177.764  6.85432e-09
           0      9.43512      163.895  6.99146e-09
           0      9.88438      153.154  7.12736e-09
           0       10.355      140.823  7.26416e-09
           0      10.8481      125.144   7.4027e-09
           0      11.3646      115.973  7.48307e-09
           0      11.9058      105.175  7.58308e-09
           0      12.4727      93.0679  7.70428e-09
           0      13.0666      80.1015  7.84584e-09
           0      13.6887      67.0791   7.9962e-09
           0      14.3405      58.7123  8.09004e-09
           0      15.0234      50.5035  8.17643e-09
           0      15.7387      42.5962  8.25374e-09
           0      16.4881      35.0574  8.31719e-09
           0      17.2732      28.0208  8.36556e-09
           0      18.0957      21.6989  8.39898e-09
           0      18.9574      16.7965  8.42392e-09
           0        19.86      12.7454  8.44538e-09
           0      20.8057      9.42398   8.4587e-09
           0      21.7964      6.79172  8.45517e-09
           0      22.8342      4.77402  8.42329e-09
           0      23.9215      3.18241  8.34861e-09
           0      25.0605      1.99311  8.21062e-09
           0      26.2538      1.23382  7.99012e-09
           0      27.5039     0.788632  7.69886e-09
           0      28.8135     0.429192  7.21672e-09
           0      30.1855     0.219744  6.59102e-09
           0      31.6228     0.194023  6.47382e-09
# Phi[rad]             Energy[keV]    I             Q/I
   0.0174533     0.316228      1321.24   -0.0430295
   0.0174533     0.331285      1353.01    -0.043368
   0.0174533      0.34706      1376.85   -0.0438074
   0.0174533     0.363585      1392.45    -0.044326
   0.0174533     0.380897      1400.82   -0.0448682
   0.0174533     0.399034      1395.22   -0.0456025
