#   Phi[rad]  Energy[keV]            I          Q/I
# I is the mean intensity over the image in units of erg/s/cm^2/sr/keV
           0     0.316228      1300.44  9.34778e-09
           0     0.331285      1331.52  9.38475e-09
           0      0.34706      1354.63  9.43289e-09
           0     0.363585      1369.45  9.48578e-09
           0     0.380897      1376.99  9.53845e-09
           0     0.399034      1370.45  9.61625e-09
           0     0.418034      1355.41    9.652e-09
           0      0.43794      1334.86  9.64594e-09
           0     0.458792      1308.16  9.58991e-09
           0     0.480638      1271.11   9.5706e-09
           0     0.503524      1227.88   9.5839e-09
           0       0.5275      1168.37  9.67286e-09
           0     0.552617      1116.95  9.74662e-09
           0      0.57893      1058.89  1.00111e-08
           0     0.606496      1033.72  1.01671e-08
           0     0.635375       982.46  1.00888e-08
           0     0.665629      989.174  9.60209e-09
           0     0.697324      973.394  8.99038e-09
           0     0.730527      1041.21  8.51525e-09
           0     0.765312      1138.43  8.29116e-09
           0     0.801753      1300.45  8.27503e-09
           0     0.839929      1474.72   8.3641e-09
           0     0.879923      1627.53  8.45778e-09
           0     0.921821      1774.44  8.52772e-09
           0     0.965714      1953.27  8.58651e-09
           0       1.0117      2062.45  8.62383e-09
           0      1.05987      2178.53  8.64459e-09
           0      1.11034      2301.76  8.66347e-09
           0      1.16321      2423.72  8.67844e-09
           0      1.21859      2533.46  8.68743e-09
           0      1.27662      2616.87   8.6881e-09
           0       1.3374      2647.64  8.68166e-09
           0      1.40109      2655.82  8.67476e-09
           0       1.4678      2659.27  8.66634e-09
           0      1.53769      2657.36  8.65632e-09
           0      1.61091      2649.37  8.64457e-09
           0      1.68761      2634.56  8.63096e-09
           0      1.76797      2612.09  8.61535e-09
           0      1.85215      2581.07  8.59758e-09
           0      1.94034      2540.52  8.57746e-09
           0      2.03274       2489.4  8.55476e-09
           0      2.12953      2426.58  8.52924e-09
           0      2.23092      2350.86  8.50056e-09
           0      2.33715      2260.96  8.46833e-09
           0      2.44844      2155.49  8.43205e-09
           0      2.56502      2049.13  8.39454e-09
           0      2.68716      1961.95  8.35961e-09
           0      2.81511      1866.01   8.3202e-09
           0      2.94915      1761.53  8.27484e-09
           0      3.08958      1648.68   8.2226e-09
           0      3.23669      1528.08  8.16156e-09
           0      3.39081      1400.64  8.08905e-09
           0      3.55226      1267.72  8.00138e-09
           0      3.72141      1131.17  7.89337e-09
           0       3.8986       993.33  7.75814e-09
           0      4.08424      857.359  7.58603e-09
           0      4.27871      727.322  7.36471e-09
           0      4.48245      611.797  7.09014e-09
           0      4.69588      518.348  6.77536e-09
           0      4.91948      436.819  6.39494e-09
           0      5.15372      367.347  5.94428e-09
           0      5.39912      309.734  5.42769e-09
           0      5.65621      263.352   4.8634e-09
           0      5.92553      227.033  4.28356e-09
           0      6.20768      198.929  3.72077e-09
           0      6.50326      176.359  3.17662e-09
           0      6.81292      154.163  2.51834e-09
           0      7.13732      132.933  1.71633e-09
           0      7.47717       113.51  7.69992e-10
           0       7.8332      96.1988 -3.24211e-10
           0      8.20619      81.3278  -1.5313e-09
           0      8.59693      67.9014 -2.95399e-09
           0      9.00628      57.0478 -4.36246e-09
           0      9.43512      51.0555 -4.94317e-09
           0      9.88438      46.4158 -5.19981e-09
           0       10.355      40.7262 -5.82846e-09
           0      10.8481      35.1514 -6.57922e-09
           0      11.3646      31.0668 -6.83413e-09
           0      11.9058      27.0687 -7.12957e-09
           0      12.4727      23.2385 -7.46848e-09
           0      13.0666        19.66 -7.84213e-09
           0      13.6887      16.4255 -8.20855e-09
           0      14.3405      13.6806 -8.40301e-09
           0      15.0234      11.2456 -8.57386e-09
           0      15.7387      9.16588 -8.62566e-09
           0      16.4881       7.3751 -8.62724e-09
           0      17.2732      5.83407 -8.62935e-09
           0      18.0957      4.53831 -8.61611e-09
           0      18.9574      3.48875 -8.48804e-09
           0        19.86      2.62701 -8.37995e-09
           0      20.8057      1.93239 -8.32003e-09
           0      21.7964      1.38373 -8.34872e-09
           0      22.8342     0.961377 -8.50405e-09
           0      23.9215      0.65357 -8.63042e-09
           0      25.0605     0.436933 -8.62602e-09
           0      26.2538     0.284616 -8.62511e-09
           0      27.5039     0.180405 -8.63011e-09
           0      28.8135      0.11332 -8.31806e-09
           0      30.1855    0.0671511 -8.47311e-09
           0      31.6228    0.0385655 -8.63304e-09
#   Phi[rad]  Energy[keV]            I          Q/I
   0.0174533     0.316228      1300.15    -0.042536
   0.0174533     0.331285       1331.2   -0.0428984
   0.0174533      0.34706      1354.31   -0.0433606
   0.0174533     0.363585      1369.18   -0.0439028
   0.0174533     0.380897      1376.79    -0.044472
   0.0174533     0.399034      1370.33   -0.0452427
   0.0174533     0.418034      1355.31   -0.0460521
   0.0174533      0.43794      1334.73   -0.0467345
   0.0174533     0.458792      1307.87   -0.0472772
   0.0174533     0.480638      1270.71   -0.0477368
   0.0174533     0.503524      1227.45   -0.0480351
   0.0174533       0.5275      1167.97   -0.0482105
   0.0174533     0.552617       1116.6   -0.0475347
   0.0174533      0.57893      1058.57   -0.0464443
   0.0174533     0.606496      1033.35    -0.044096
   0.0174533     0.635375      982.014   -0.0418343
   0.0174533     0.665629      988.644    -0.038183
   0.0174533     0.697324      972.858   -0.0335334
   0.0174533     0.730527      1040.68   -0.0288796
   0.0174533     0.765312      1137.86   -0.0245975
   0.0174533     0.801753      1299.84   -0.0236014
   0.0174533     0.839929      1474.06     -0.02522
   0.0174533     0.879923      1626.86   -0.0270552
   0.0174533     0.921821      1773.77   -0.0279124
   0.0174533     0.965714      1952.57   -0.0288273
   0.0174533       1.0117      2061.75   -0.0293811
   0.0174533      1.05987      2177.82   -0.0297138
   0.0174533      1.11034      2301.03    -0.030047
   0.0174533      1.16321      2422.98   -0.0303497
   0.0174533      1.21859      2532.71   -0.0305923
   0.0174533      1.27662      2616.13   -0.0307436
   0.0174533       1.3374      2646.91   -0.0307716
   0.0174533      1.40109       2655.1   -0.0307625
   0.0174533       1.4678      2658.56   -0.0307425
   0.0174533      1.53769      2656.66   -0.0307108
   0.0174533      1.61091      2648.69   -0.0306668
   0.0174533      1.68761      2633.89   -0.0306098
   0.0174533      1.76797      2611.44   -0.0305389
   0.0174533      1.85215      2580.44   -0.0304533
   0.0174533      1.94034      2539.91    -0.030352
   0.0174533      2.03274      2488.82   -0.0302342
   0.0174533      2.12953      2426.03   -0.0300998
