

#   Phi[rad]  Energy[keV]            I          Q/I
           0     0.316228      1105.71  7.79625e-09
           0     0.331285      1134.17  7.83282e-09
           0      0.34706      1157.89  7.87022e-09
           0     0.363585      1176.49  7.90761e-09
           0     0.380897      1189.79   7.9432e-09
           0     0.399034      1197.79  7.97433e-09
           0     0.418034      1200.96  7.99666e-09
           0      0.43794      1199.98  8.00767e-09
           0     0.458792      1195.43   8.0072e-09
           0     0.480638      1187.81  7.99738e-09
           0     0.503524      1177.96  7.97703e-09
           0       0.5275       1166.9  7.94011e-09
           0     0.552617      1156.45  7.87136e-09
           0      0.57893      1148.39  7.74896e-09
           0     0.606496      1144.64  7.49897e-09
           0     0.635375      1146.81  7.47327e-09
           0     0.665629      1157.15  7.68791e-09
           0     0.697324       1177.4  7.45678e-09
           0     0.730527      1209.91  7.32925e-09
           0     0.765312      1255.49  7.22698e-09
           0     0.801753      1313.94  7.12244e-09
           0     0.839929      1382.87  7.10845e-09
           0     0.879923      1459.11  7.11565e-09
           0     0.921821       1539.7  7.13031e-09
           0     0.965714      1622.15  7.20249e-09
           0       1.0117      1703.35  7.25239e-09
           0      1.05987      1781.91  7.36865e-09
           0      1.11034      1856.56  7.46301e-09
           0      1.16321      1925.42  7.53327e-09
           0      1.21859      1986.32  7.59254e-09
           0      1.27662       2037.3   7.6425e-09
           0       1.3374      2077.43  7.68545e-09
           0      1.40109      2107.09  7.72164e-09
           0       1.4678      2126.92  7.75296e-09
           0      1.53769      2137.38  7.78069e-09
           0      1.61091       2138.8   7.8033e-09
           0      1.68761      2131.41  7.82333e-09
           0      1.76797      2115.36  7.84283e-09
           0      1.85215       2090.8  7.86192e-09
           0      1.94034      2057.86  7.88058e-09
           0      2.03274      2016.71  7.89859e-09
           0      2.12953      1967.65  7.91561e-09
           0      2.23092      1911.14  7.93119e-09
           0      2.33715      1847.86  7.94487e-09
           0      2.44844      1778.86   7.9563e-09
           0      2.56502      1705.66  7.96556e-09
           0      2.68716      1629.35  7.97267e-09
           0      2.81511      1549.94  7.97675e-09
           0      2.94915      1467.47  7.97684e-09
           0      3.08958      1382.11  7.97193e-09
           0      3.23669       1294.2  7.96083e-09
           0      3.39081      1204.27  7.94244e-09
           0      3.55226      1113.01  7.91623e-09
           0      3.72141      1021.28  7.88102e-09
           0       3.8986      930.145  7.83607e-09
           0      4.08424      840.804  7.78107e-09
           0      4.27871      754.566  7.71634e-09
           0      4.48245      672.753  7.64313e-09
           0      4.69588      596.389  7.56309e-09
           0      4.91948      525.973  7.47708e-09
           0      5.15372      461.792  7.38618e-09
           0      5.39912      403.941  7.29178e-09
           0      5.65621      352.316  7.19546e-09
           0      5.92553      306.617  7.09861e-09
           0      6.20768       266.36  7.00183e-09
           0      6.50326      230.928   6.9043e-09
           0      6.81292      199.662  6.80359e-09
           0      7.13732      172.019  6.69719e-09
           0      7.47717      147.598  6.58337e-09
           0       7.8332      126.089  6.46108e-09
           0      8.20619      107.254  6.33023e-09
           0      8.59693      90.8868  6.19185e-09
           0      9.00628      76.8212  6.04953e-09
           0      9.43512      64.8671  5.90836e-09
           0      9.88438      54.7242  5.76863e-09
           0       10.355      46.0921  5.62771e-09
           0      10.8481      38.7586  5.48551e-09
           0      11.3646      32.5582  5.34403e-09
           0      11.9058      27.3202  5.20286e-09
           0      12.4727      22.8988  5.06156e-09
           0      13.0666      19.1721  4.92018e-09
           0      13.6887      16.0382  4.77953e-09
           0      14.3405      13.4093  4.64081e-09
           0      15.0234      11.2075  4.50482e-09
           0      15.7387      9.36616  4.37236e-09
           0      16.4881      7.82736  4.24387e-09
           0      17.2732      6.54172  4.11942e-09
           0      18.0957      5.46781  3.99912e-09
           0      18.9574      4.57079  3.88295e-09
           0        19.86      3.82106  3.77039e-09
           0      20.8057      3.19406  3.66084e-09
           0      21.7964       2.6695  3.55387e-09
           0      22.8342      2.23071  3.44934e-09
           0      23.9215      1.86389  3.34758e-09
           0      25.0605       1.5574  3.24883e-09
           0      26.2538       1.3013  3.15302e-09
           0      27.5039      1.08732  3.06008e-09
           0      28.8135     0.908536  2.96995e-09
           0      30.1855     0.759119  2.88235e-09
           0      31.6228     0.634256  2.79724e-09
#   Phi[rad]  Energy[keV]            I          Q/I
   0.0174533     0.316228      1105.79   -0.0341209
   0.0174533     0.331285      1134.26   -0.0346776
   0.0174533      0.34706      1157.98   -0.0352702
   0.0174533     0.363585      1176.58   -0.0358981
   0.0174533     0.380897      1189.88   -0.0365514
   0.0174533     0.399034      1197.87    -0.037214
   0.0174533     0.418034      1201.03   -0.0378508
   0.0174533      0.43794      1200.05   -0.0384148
   0.0174533     0.458792      1195.48   -0.0388586
   0.0174533     0.480638      1187.87   -0.0391367
   0.0174533     0.503524      1178.01   -0.0391975
   0.0174533       0.5275      1166.97   -0.0389858
   0.0174533     0.552617      1156.53   -0.0384352
   0.0174533      0.57893      1148.49   -0.0374884
   0.0174533     0.606496      1144.75   -0.0360966
   0.0174533     0.635375      1146.93   -0.0345697
   0.0174533     0.665629      1157.29   -0.0329771
   0.0174533     0.697324      1177.55   -0.0308725
   0.0174533     0.730527      1210.08   -0.0288428
   0.0174533     0.765312      1255.67   -0.0270308
   0.0174533     0.801753      1314.13   -0.0256629
   0.0174533     0.839929      1383.08   -0.0250893
   0.0174533     0.879923      1459.33   -0.0249811
   0.0174533     0.921821      1539.94   -0.0250434
   0.0174533     0.965714       1622.4   -0.0252423
   0.0174533       1.0117       1703.6   -0.0254762
   0.0174533      1.05987      1782.17   -0.0265109
