

#   Phi[rad]  Energy[keV]            I          Q/I
           0     0.316228      1263.62  9.00138e-09
           0     0.331285      1294.09  9.03713e-09
           0      0.34706      1317.31  9.08059e-09
           0     0.363585      1333.02  9.12616e-09
           0     0.380897      1342.03  9.16961e-09
           0     0.399034      1339.49  9.22674e-09
           0     0.418034      1329.27  9.25037e-09
           0      0.43794      1313.16  9.24362e-09
           0     0.458792      1290.86  9.20079e-09
           0     0.480638      1259.06  9.18088e-09
           0     0.503524       1221.5  9.18124e-09
           0       0.5275      1171.33  9.23151e-09
           0     0.552617      1127.36  9.26541e-09
           0      0.57893      1078.88  9.42154e-09
           0     0.606496      1054.21  9.49773e-09
           0     0.635375      1017.21  9.39247e-09
           0     0.665629       1029.3  9.03351e-09
           0     0.697324      1023.18  8.57675e-09
           0     0.730527      1082.95  8.24111e-09
           0     0.765312      1168.28  8.07372e-09
           0     0.801753      1302.94  8.06793e-09
           0     0.839929      1448.75  8.15285e-09
           0     0.879923      1581.73  8.22884e-09
           0     0.921821      1713.32  8.29888e-09
           0     0.965714       1871.1  8.37112e-09
           0       1.0117       1975.6   8.4175e-09
           0      1.05987      2085.08  8.46521e-09
           0      1.11034       2199.1  8.50711e-09
           0      1.16321       2310.6  8.54131e-09
           0      1.21859      2410.25  8.56902e-09
           0      1.27662      2486.27  8.58831e-09
           0       1.3374      2517.55  8.59696e-09
           0      1.40109      2528.25  8.60179e-09
           0       1.4678      2532.81  8.60555e-09
           0      1.53769      2530.97  8.60833e-09
           0      1.61091       2522.3  8.60985e-09
           0      1.68761      2506.32  8.61032e-09
           0      1.76797      2482.44  8.60992e-09
           0      1.85215         2450  8.60862e-09
           0      1.94034      2408.26  8.60638e-09
           0      2.03274      2356.48  8.60318e-09
           0      2.12953      2293.86  8.59897e-09
           0      2.23092      2219.63  8.59375e-09
           0      2.33715      2133.06  8.58757e-09
           0      2.44844      2033.51  8.58055e-09
           0      2.56502       1932.5  8.57434e-09
           0      2.68716      1845.18  8.57033e-09
           0      2.81511      1750.65  8.56537e-09
           0      2.94915       1649.1  8.55908e-09
           0      3.08958      1540.77  8.55193e-09
           0      3.23669      1426.33  8.54379e-09
           0      3.39081      1306.72  8.53442e-09
           0      3.55226      1183.31  8.52353e-09
           0      3.72141      1057.91  8.51063e-09
           0       3.8986      932.719  8.49542e-09
           0      4.08424      810.549  8.47733e-09
           0      4.27871      694.745  8.45573e-09
           0      4.48245       591.37  8.43029e-09
           0      4.69588      505.188  8.40191e-09
           0      4.91948      429.463  8.37087e-09
           0      5.15372      364.099  8.33816e-09
           0      5.39912      308.699  8.30536e-09
           0      5.65621       262.54  8.27459e-09
           0      5.92553      224.555  8.24788e-09
           0      6.20768      193.319   8.2259e-09
           0      6.50326      167.036  8.20631e-09
           0      6.81292      142.808  8.18156e-09
           0      7.13732      120.829  8.14508e-09
           0      7.47717      101.387  8.09475e-09
           0       7.8332      84.4915  8.02832e-09
           0      8.20619      70.1411  7.94584e-09
           0      8.59693      57.7643  7.84709e-09
           0      9.00628      47.6802  7.75045e-09
           0      9.43512      40.5346  7.66979e-09
           0      9.88438      34.7337  7.59585e-09
           0       10.355      29.2986  7.50246e-09
           0      10.8481      24.5667  7.39741e-09
           0      11.3646      20.8724  7.30278e-09
           0      11.9058      17.6679  7.20548e-09
           0      12.4727      14.9056  7.10479e-09
           0      13.0666       12.544  7.00102e-09
           0      13.6887      10.5481  6.89604e-09
           0      14.3405      8.89818  6.79491e-09
           0      15.0234      7.50398  6.69464e-09
           0      15.7387       6.3373  6.60013e-09
           0      16.4881      5.35226  6.50734e-09
           0      17.2732      4.51627  6.41656e-09
           0      18.0957      3.80873  6.32801e-09
           0      18.9574      3.21349  6.24437e-09
           0        19.86      2.70785  6.16178e-09
           0      20.8057      2.27866  6.07961e-09
           0      21.7964      1.91486  5.99744e-09
           0      22.8342      1.60733  5.91547e-09
           0      23.9215      1.34909  5.83597e-09
           0      25.0605      1.13249  5.75944e-09
           0      26.2538     0.950254   5.6846e-09
           0      27.5039      0.79703  5.61146e-09
           0      28.8135     0.668484  5.54086e-09
           0      30.1855     0.560188  5.47065e-09
           0      31.6228     0.469328  5.40224e-09
#   Phi[rad]  Energy[keV]            I          Q/I
   0.0174533     0.316228      1263.44   -0.0400448
   0.0174533     0.331285      1293.89    -0.040417
   0.0174533      0.34706      1317.12   -0.0408647
   0.0174533     0.363585      1332.87   -0.0413693
   0.0174533     0.380897      1341.93   -0.0418857
   0.0174533     0.399034      1339.45   -0.0425256
   0.0174533     0.418034      1329.25   -0.0431734
   0.0174533      0.43794      1313.11    -0.043715
   0.0174533     0.458792       1290.7   -0.0441282
   0.0174533     0.480638      1258.82   -0.0444447
   0.0174533     0.503524      1221.23    -0.044585
   0.0174533       0.5275      1171.08   -0.0445239
   0.0174533     0.552617      1127.14   -0.0437509
   0.0174533      0.57893      1078.68   -0.0425847
   0.0174533     0.606496      1053.96   -0.0405759
   0.0174533     0.635375      1016.91   -0.0383404
   0.0174533     0.665629      1028.94   -0.0351121
   0.0174533     0.697324      1022.81   -0.0313491
   0.0174533     0.730527      1082.57   -0.0277323
   0.0174533     0.765312      1167.87   -0.0243986
   0.0174533     0.801753       1302.5   -0.0235716
   0.0174533     0.839929      1448.28   -0.0247669
   0.0174533     0.879923      1581.26   -0.0260624
   0.0174533     0.921821      1712.86   -0.0267899
   0.0174533     0.965714      1870.62   -0.0276137
   0.0174533       1.0117      1975.12   -0.0281492
   0.0174533      1.05987      2084.59   -0.0286799
   0.0174533      1.11034       2198.6   -0.0291785
   0.0174533      1.16321       2310.1   -0.0296186
   0.0174533      1.21859      2409.74   -0.0300066
   0.0174533      1.27662      2485.77   -0.0303136
   0.0174533       1.3374      2517.06   -0.0304826
   0.0174533      1.40109      2527.77   -0.0305903
   0.0174533       1.4678      2532.34   -0.0306898
   0.0174533      1.53769      2530.51   -0.0307822
   0.0174533      1.61091      2521.86   -0.0308653
   0.0174533      1.68761      2505.89   -0.0309408
   0.0174533      1.76797      2482.02   -0.0310102
   0.0174533      1.85215       2449.6   -0.0310736
   0.0174533      1.94034      2407.88   -0.0311309
   0.0174533      2.03274      2356.11   -0.0311823
   0.0174533      2.12953      2293.51   -0.0312288
   0.0174533      2.23092      2219.31   -0.0312699
   0.0174533      2.33715      2132.77   -0.0313064
   0.0174533      2.44844      2033.24   -0.0313399
   0.0174533      2.56502      1932.25   -0.0313772
   0.0174533      2.68716      1844.95   -0.0314208
   0.0174533      2.81511      1750.44    -0.031459
   0.0174533      2.94915      1648.91     -0.03149
   0.0174533      3.08958      1540.61     -0.03152
   0.0174533      3.23669      1426.18   -0.0315495
   0.0174533      3.39081      1306.59   -0.0315795
   0.0174533      3.55226       1183.2   -0.0316126
   0.0174533      3.72141      1057.81    -0.031649
   0.0174533       3.8986      932.637   -0.0316947
   0.0174533      4.08424       810.48   -0.0317536
   0.0174533      4.27871      694.688   -0.0318281
   0.0174533      4.48245      591.322   -0.0319125
   0.0174533      4.69588       505.15   -0.0319925
   0.0174533      4.91948      429.434   -0.0320956
   0.0174533      5.15372      364.076   -0.0322299
   0.0174533      5.39912      308.682   -0.0324034
   0.0174533      5.65621      262.527   -0.0326217
   0.0174533      5.92553      224.546   -0.0328843
   0.0174533      6.20768      193.313   -0.0331815
   0.0174533      6.50326      167.032   -0.0334908
   0.0174533      6.81292      142.806   -0.0338346
   0.0174533      7.13732      120.828   -0.0341424
   0.0174533      7.47717      101.388   -0.0343792
   0.0174533       7.8332      84.4927   -0.0345217
   0.0174533      8.20619      70.1427   -0.0345533
   0.0174533      8.59693      57.7661   -0.0345452
   0.0174533      9.00628      47.6823   -0.0346091
   0.0174533      9.43512      40.5366   -0.0344742
   0.0174533      9.88438      34.7355   -0.0342778
   0.0174533       10.355      29.3003   -0.0340553
