# Energy sigma
# [keV]  [EkeV^3 (1e-24 cm^2)]
0.20738 68.644
0.21805 68.561
0.22926 68.789
0.24106 68.881
0.25345 69.235
0.26649 69.087
0.28100 69.568
0.28929 69.087
0.29726 74.831
0.29058 72.665
0.31255 74.557
0.32863 74.831
0.34553 74.934
0.36330 75.210
0.38199 75.279
0.40162 76.639
0.42226 78.779
0.44398 78.779
0.46681 79.087
0.49083 79.178
0.51607 79.178
0.53402 79.679
0.54625 117.60
0.53612 104.13
0.53627 92.947
0.53760 85.408
0.57520 119.82
0.60477 121.62
0.63585 123.34
0.66854 125.05
0.70291 126.61
0.72357 140.37
0.77686 143.31
0.81680 145.30
0.85291 148.61
0.88636 168.76
0.93191 172.04
0.97981 174.75
1.0302 177.54
1.0831 180.25
1.1388 182.79
1.1974 185.03
1.2589 187.07
1.3012 190.39
1.3417 201.38
1.4107 203.66
1.4832 205.91
1.5594 208.58
1.6396 211.27
1.7239 213.17
1.8076 215.95
1.8881 232.55
1.9852 234.69
2.0873 236.86
2.1946 239.15
2.3075 241.08
2.4206 242.98
2.5273 261.97
2.6573 264.93
2.7939 267.19
2.9376 269.47
3.0886 271.52
3.2473 278.65
3.4143 281.55
3.5898 283.43
3.7745 285.12
3.9685 288.41
4.1724 294.98
4.3870 296.54
4.6126 298.11
4.8498 299.48
5.0993 301.13
5.3615 302.31
5.6373 303.35
5.9272 305.73
6.2320 307.98
6.5524 310.32
6.8894 312.47
7.0669 480.08
7.2445 648.30
7.0906 616.51
7.0698 590.78
7.0873 544.92
7.0880 522.03
7.0745 447.52
7.0754 423.34
7.0763 400.46
7.0772 378.83
7.0782 358.36
7.0791 338.99
7.0800 320.68
7.6031 653.56
7.9940 661.25
8.4044 687.76
8.8366 695.34
9.2909 703.21
9.7463 710.11
